IRIS_ID	NAME	Variety_Name_verif	COUNTRY	REGION	K9_cluster	Initial_subpop
B001	HEIBIAO	Heibiao	China	As6	GJ-tmp	temp
B002	SANSUIJIN	Sansuijin	China	As6	GJ-tmp	temp
B003	ZAOSHENGBAI	Zaoshengbai_	China	As6	GJ-adm	japx
B004	QIUGUANGTENGXI_104	Qiuguangtengxi_104_	Japan	As7	GJ-tmp	temp
B005	WANSHI	Wanshi	Japan	As7	GJ-tmp	temp
B006	YIKONG	Yikong	Vietnam	As4	XI-adm	indx
B007	TIANHANDAO	Tianhandao	Vietnam	As4	XI-adm	indx
B008	BAXIANG	Baxiang_	Vietnam	As4	GJ-tmp	temp
B009	VIETNAM_ZAODAO	Vietnam_Zaodao	Vietnam	As4	XI-1A	ind1A
B010	MALAIHONG	Malaihong_	Malaysia	As4	XI-1A	ind1A
B011	CO_22	CO_22	India	As2a	XI-adm	indx
B012	2037(RAJAHAMSAL)	2037(Rajahamsal)	India	As2a	XI-2	ind2
B013	SRI_LANKA_1	Sri_Lanka_1_	Srilanka	As2	XI-adm	indx
B014	WUZILUOSI_215	Wuziluosi_215	SovietUnion	Eu	GJ-tmp	temp
B015	KAHAMU	Kahamu	Romania	Eu	XI-1A	ind1A
B016	AOMIERTE_168	Aomierte_168	Hungary	Eu	GJ-tmp	temp
B017	AERJITUO	Aerjituo	Bulgaria	Eu	GJ-tmp	temp
B018	AMERICAN_HUANGKEDAO	American_Huangkedao_	UnitedStates	Am	GJ-trp	trop
B019	BULEIDA_A-75	Buleida_A-75	Mexico	Am	XI-adm	indx
B020	JINEIYADAO	Jineiyadao_	Guinea	Af1	admix	admix
B021	SELN_244A6-20	Seln_244A6-20	Australia	Au	XI-adm	indx
B023	GAOLIQIU	Gaoliqiu	NorthKorea	As7	GJ-tmp	temp
B024	XIANLUOSICHI	Xianluosichi	Thailand	As4	XI-1A	ind1A
B025	DJANDA_MANDJA	Djanda_Mandja	Indonesia	As5	GJ-trp	trop
B026	PADI_LADANG_ASE_POLO_KOMEK	Padi_Ladang_Ase_Polo_Komek	Indonesia	As5	XI-adm	indx
B027	C_894-21	C_894-21	Philippines	As5	XI-3	ind3
B028	IR_10179-23-1-3	IR_10179-23-1-3	Philippines	As5	XI-adm	indx
B029	DUMAI	Dumai	India	As2a	XI-1B	ind1B
B030	JAIBATTEY	Jaibattey	India	As2a	XI-adm	indx
B031	NGATSIN	Ngatsin	India	As2a	XI-2	ind2
B032	ROHINI	Rohini	India	As2a	XI-1B	ind1B
B033	BW_293-2	BW_293-2	Srilanka	As2	XI-1B	ind1B
B034	ALBANIA_RICE	Albania_Rice	Albania	Eu	GJ-tmp	temp
B035	AMERICAN_RICE	American_Rice_	UnitedStates	Am	XI-adm	indx
B036	JIJUCAS_CLARO	Jijucas_Claro	Brazil	Am	GJ-adm	japx
B037	NANOAY_P.A	Nanoay_P.A	Argentina	Am	GJ-trp	trop
B038	NABATED_A_SMAR	Nabated_A_Smar	Egypt	AfN	GJ-tmp	temp
B039	IRAT_10	IRAT_10	IvoryCoast	Af1	XI-adm	indx
B040	K_24	K_24	Uganda	Af3	XI-adm	indx
B043	YR_83-23-11	YR_83-23-11	Australia	Au	GJ-trp	trop
B044	SANTIANNUO	Santiannuo	Japan	As7	XI-adm	indx
B045	GONGCHENGXIANG	Gongchengxiang_	Japan	As7	GJ-tmp	temp
B046	QIUTIANXIAOTING	Qiutianxiaoting	Japan	As7	GJ-tmp	temp
B047	ZHENFU_8	Zhenfu_8	Japan	As7	GJ-tmp	temp
B048	CISOKAN	CISOKAN	Indonesia	As5	XI-1B	ind1B
B049	ZACAODAO_13	Zacaodao_13	Nepal	As2b	cA_(Aus)	aus
B051	GZ_1368-5-4	GZ_1368-5-4	Egypt	AfN	XI-adm	indx
B052	J34	J34	Madagascar	Mad	XI-2	ind2
B053	80A97YR303-304-1-3	80A97YR303-304-1-3	Australia	Au	GJ-trp	trop
B054	80050YR72136-43	80050YR72136-43	Australia	Au	GJ-trp	trop
B055	YR196	YR196	Australia	Au	GJ-tmp	temp
B056	TIEGANWU	Tieganwu_	China	As6	GJ-tmp	temp
B057	XIUSHUI_115	Xiushui_115	China	As6	GJ-tmp	temp
B058	ERJIUNAN_1	Erjiunan_1	China	As6	XI-1B	ind1B
B059	NANJING_11	Nanjing_11	China	As6	XI-1A	ind1A
B060	AIJIAONANTE	Aijiaonante	China	As6	XI-1A	ind1A
B061	GUANGLUAI_4	Guangluai_4	China	As6	XI-1A	ind1A
B062	NANTEHAO	Nantehao_	China	As6	XI-1A	ind1A
B063	GUIZHAO_2	Guizhao_2	China	As6	XI-1A	ind1A
B064	XIANGZAOXIAN_7	Xiangzaoxian_7	China	As6	XI-adm	indx
B065	HUANGSIGUIZHAN	Huangsiguizhan	China	As6	XI-adm	indx
B066	GUANGKEXIANGNUO	Guangkexiangnuo	China	As6	GJ-tmp	temp
B067	FUNINGZIPIGENGZI	Funingzipigengzi	China	As6	XI-1A	ind1A
B068	GAOYANGDIANDAO_DAHONGMANG	Gaoyangdiandao_dahongmang	China	As6	GJ-tmp	temp
B069	DANDONGLUDAO	Dandongludao_	China	As6	GJ-adm	japx
B070	LAOGUANGTOU_83	Laoguangtou_83	China	As6	GJ-adm	japx
B071	MUXIQIU	Muxiqiu	China	As6	GJ-tmp	temp
B072	QIUQIANBAI	Qiuqianbai_	China	As6	XI-1A	ind1A
B073	JINXIBAI2	Jinxibai2_	China	As6	XI-adm	indx
B074	TAISHANNUO	Taishannuo	China	As6	XI-1A	ind1A
B075	JINBAOYIN	Jinbaoyin_	China	As6	XI-adm	indx
B076	MINBEIWANXIAN	Minbeiwanxian	China	As6	XI-adm	indx
B077	YIZHIXIANG	Yizhixiang	China	As6	GJ-tmp	temp
B079	ESINIU	Esiniu_	China	As6	XI-1A	ind1A
B081	HEIDU_4	Heidu_4	China	As6	XI-1A	ind1A
B082	QIYUEXIAN	Qiyuexian	China	As6	XI-adm	indx
B083	DONGTINGWANXIAN	Dongtingwanxian	China	As6	XI-1A	ind1A
B084	BAWANGBIAN_1	Bawangbian_1	China	As6	admix	admix
B085	XUGUNUO	Xugunuo	China	As6	XI-1A	ind1A
B086	MUGUANUO	Muguanuo_	China	As6	admix	admix
B087	ZHONGNONG_4	Zhongnong_4_	China	As6	XI-2	ind2
B088	SAN**QISHILUO	San**Qishiluo	China	As6	XI-adm	indx
B089	QITOUBAIGU3	Qitoubaigu3	China	As6	XI-adm	indx
B090	ZIMI	Zimi	China	As6	XI-adm	indx
B091	XIAOHONGGU	Xiaohonggu	China	As6	XI-adm	indx
B092	GONGJU_73	Gongju_73	China	As6	XI-1A	ind1A
B093	QITOUGU	Qitougu	China	As6	XI-1A	ind1A
B094	ZINUO	Zinuo	China	As6	XI-1A	ind1A
B095	MOWANGGUNEIZA	Mowangguneiza	China	As6	XI-adm	indx
B096	JINZHINUO4	Jinzhinuo4_	China	As6	XI-adm	indx
B097	JIIENUO	Jiienuo	China	As6	XI-adm	indx
B100	HONGKEZHENUO	Hongkezhenuo_	China	As6	GJ-tmp	temp
B101	YANGKENUO	Yangkenuo	China	As6	GJ-tmp	temp
B102	MAGUZI	Maguzi_	China	As6	GJ-tmp	temp
B103	LAOHONGDAO	Laohongdao	China	As6	GJ-tmp	temp
B104	JIABALA	Jiabala	India	As2a	XI-1A	ind1A
B105	BAOXUAN_21_A	Baoxuan_21	China	As6	XI-adm	indx
B106	WENXIANGNUO	Wenxiangnuo	China	As6	XI-adm	indx
B107	DAWANNUO	Dawannuo	China	As6	XI-adm	indx
B108	XIANGGU	Xianggu	China	As6	XI-adm	indx
B109	LENGSHUIGU_2	Lengshuigu_2	China	As6	GJ-adm	japx
B110	HUANGPINUO	Huangpinuo	China	As6	GJ-tmp	temp
B111	ZIMANGFEIE	Zimangfeie_	China	As6	GJ-tmp	temp
B112	LIUSHA_1	Liusha_1	China	As6	XI-1A	ind1A
B113	CHENWAN_3	Chenwan_3_	China	As6	XI-adm	indx
B114	CHENGDUAI_3	Chengduai_3_	China	As6	XI-1A	ind1A
B115	AIMAKANG	Aimakang	China	As6	XI-1A	ind1A
B116	SHUFENG_101	Shufeng_101	China	As6	XI-adm	indx
B117	LIXINGENG	Lixingeng_	China	As6	GJ-tmp	temp
B118	ERGANGAI	Ergangai	China	As6	XI-adm	indx
B119	GUANGLUAI_15-1	Guangluai_15-	China	As6	XI-1A	ind1A
B120	HONGWAN_1	Hongwan_1_	China	As6	XI-adm	indx
B121	LUKE_3	Luke_3_	China	As6	XI-1A	ind1A
B122	LIAOGENG_287	Liaogeng_287	China	As6	GJ-tmp	temp
B123	ZAOSHUXIANGHEIMI	Zaoshuxiangheimi	China	As6	XI-adm	indx
B124	GENG_87-304	Geng_87-304	China	As6	GJ-tmp	temp
B125	XIANGWANXIAN_3	Xiangwanxian_3__	China	As6	XI-adm	indx
B126	ZAOXIAN_240	Zaoxian_240	China	As6	XI-1A	ind1A
B127	DANGYU_5	Dangyu_5_	China	As6	XI-1A	ind1A
B128	SIBEITIZHAO_6	Sibeitizhao_6	China	As6	XI-adm	indx
B129	HONGAINUO	Hongainuo	China	As6	XI-adm	indx
B130	WANLIXIAN	Wanlixian	China	As6	XI-1A	ind1A
B131	AIZIZHAN	Aizizhan	China	As6	XI-adm	indx
B132	XIAOBAIMI	Xiaobaimi	China	As6	XI-adm	indx
B133	YANSHUICHI	Yanshuichi	China	As6	XI-adm	indx
B134	XISHI_15	Xishi_15	China	As6	GJ-sbtrp	subtrop
B135	HONGGENGHANGU3	Honggenghangu3_	China	As6	XI-adm	indx
B136	YUYANNUO	Yuyannuo	China	As6	GJ-adm	japx
B137	80B	80B	Philippines	As5	XI-adm	indx
B138	GU_154	Gu_154	China	As6	XI-adm	indx
B139	IR_661-1	IR_661-1	China	As6	XI-adm	indx
B140	PEI_C122	Pei_C122	China	As6	XI-1A	ind1A
B141	GENG_7623	Geng_7623	China	As6	admix	admix
B142	NINGHUI_21	Ninghui_21	China	As6	admix	admix
B143	76--1	76--1	China	As6	GJ-tmp	temp
B144	HUHUI_628	Huhui_628	China	As6	GJ-adm	japx
B145	TEQINGXUANHUI	Teqingxuanhui	China	As6	XI-adm	indx
B146	JWR_221	JWR_221	China	As6	XI-1B	ind1B
B147	BAIKEHANHE	Baikehanhe	China	As6	XI-1A	ind1A
B148	LENGSHUINUO	Lengshuinuo	China	As6	GJ-adm	japx
B149	HAOXIANG	Haoxiang_	China	As6	XI-1A	ind1A
B150	L_301B	L_301B	China	As6	XI-1A	ind1A
B151	JINNANTE_43B	Jinnante_43B	China	As6	XI-1A	ind1A
B152	ZAOSHUNONGHU_6	Zaoshunonghu_6	China	As6	GJ-tmp	temp
B153	QINGSIAI_16B	Qingsiai_16B	China	As6	XI-adm	indx
B154	LIMING_B	Liming_B	China	As6	GJ-tmp	temp
B155	BAOXIE-7B	Baoxie_-7B	China	As6	XI-adm	indx
B156	G_ZHENSHAN_97B	G_Zhenshan_97B	China	As6	XI-1A	ind1A
B157	88B	88B	China	As6	XI-1A	ind1A
B158	TAIZHONG_65/TAIZHONGHR539	Taizhong_65/taizhongHR539	China	As6	admix	admix
B159	TAIZHONGZAILAI_1/TAIZHONG65	Taizhongzailai_1/taizhong65	China	As6	XI-adm	indx
B160	SHUIYUAN_300LI	Shuiyuan_300Li_	China	As6	GJ-tmp	temp
B161	YELICANGHUA	Yelicanghua	China	As6	GJ-tmp	temp
B162	BAIGEDAO	Baigedao	China	As6	GJ-tmp	temp
B163	LIUSHIZAO	Liushizao_	China	As6	XI-1A	ind1A
B164	QINGKE	Qingke	China	As6	cA_(Aus)	aus
B165	HAOHUANGLA	Haohuangla	China	As6	XI-adm	indx
B166	JIANGHUADAO	Jianghuadao_	NorthKorea	As7	GJ-tmp	temp
B167	QINGJINZAOSHENG	Qingjinzaosheng_	NorthKorea	As7	GJ-tmp	temp
B168	ZHUYUAN	Zhuyuan	Japan	As7	GJ-tmp	temp
B169	AILUYU	Ailuyu	Japan	As7	GJ-tmp	temp
B170	HONGSE_90	Hongse_90	Russia	Eu	GJ-tmp	temp
B171	LINGUO	Linguo	Italy	Eu	GJ-tmp	temp
B173	TJANTAJAN	Tjantajan	Indonesia	As5	admix	admix
B176	BRC_25-146-2-1	BRC_25-146-2-1	Bangladesh	As2c	XI-adm	indx
B179	KELUODUO_B	Keluoduo_B	France	Eu	GJ-tmp	temp
B180	P1790-5-1M-4-5M-1B-3M-B	P1790-5-1M-4-5M-1B-3M-B	Colombia	Am	XI-adm	indx
B181	71011	71011	Australia	Au	XI-1A	ind1A
B182	CHIMAO	Chimao	Japan	As7	GJ-tmp	temp
B183	QINGNUO_KYOHATAMOCHI	Qingnuo_Kyohatamochi	Japan	As7	GJ-tmp	temp
B184	CHANH_148	CHANH_148	Vietnam	As4	XI-adm	indx
B185	SLK_2-18-2	SLK_2-18-2	Laos	As4	XI-adm	indx
B187	RP_1570-44-1	RP_1570-44-1	India	As2a	XI-adm	indx
B188	IRAT_36	IRAT_36	IvoryCoast	Af1	GJ-trp	trop
B189	IRAT_669	IRAT_669	IvoryCoast	Af1	GJ-trp	trop
B190	ITA_221	ITA_221	Nigeria	Af1	GJ-trp	trop
B191	80A60YR71009-1-5	80A60YR71009-1-5	Australia	Au	GJ-trp	trop
B192	R42	R42	Philippines	As5	admix	admix
B193	C.MEDIO_7	C.MEDIO_7	Cuba	Am	XI-adm	indx
B194	ECIA_179-S13	ECIA_179-S13	Cuba	Am	XI-1B	ind1B
B195	PMS_10B	PMS_10B	India	As2a	XI-adm	indx
B196	TAIDONGLUDAO	Taidongludao_	China	As6	GJ-trp	trop
B197	TAIZHONGXIANXUAN_2	Taizhongxianxuan_2	China	As6	XI-1A	ind1A
B198	JIEFANGXIAN	Jiefangxian_	China	As6	XI-1A	ind1A
B199	HONGMISANDAN	Hongmisandan	China	As6	GJ-tmp	temp
B200	JINYOU_1	Jinyou_1	China	As6	XI-1B	ind1B
B201	CHENGNONGSHUIJING	Chengnongshuijing_	China	As6	XI-1B	ind1B
B202	BAOXIE_123B	Baoxie_123B	China	As6	XI-adm	indx
B203	BIWUSHENG	Biwusheng_	China	As6	XI-adm	indx
B204	LONGHUAMAOHU	Longhuamaohu	China	As6	GJ-tmp	temp
B205	CUNSANLI	Cunsanli	China	As6	GJ-adm	japx
B207	AIHECHI	Aihechi	China	As6	XI-adm	indx
B208	LUCAIHAO	Lucaihao_	China	As6	XI-1A	ind1A
B210	NANXIONGZAOYOUZHAN	Nanxiongzaoyouzhan	China	As6	XI-1A	ind1A
B212	CHIKENUO	Chikenuo	China	As6	GJ-tmp	temp
B213	LIUYENIAN	Liuyenian_	China	As6	XI-1A	ind1A
B214	XUANENCHANGTANQINGZHAN	Xuanenchangtanqingzhan	China	As6	XI-1B	ind1B
B215	HONGQI_5	Hongqi_5	China	As6	GJ-tmp	temp
B216	HANMADAO4	Hanmadao4_	China	As6	XI-1A	ind1A
B217	HONGGU	Honggu	China	As6	XI-1B	ind1B
B218	WUZIDUI	Wuzidui	China	As6	GJ-tmp	temp
B219	HAOLAI	Haolai	China	As6	XI-adm	indx
B221	FANHAOPI	Fanhaopi_	China	As6	XI-1A	ind1A
B222	BEIZINUO	Beizinuo_	China	As6	XI-1A	ind1A
B223	CUNGUNUO	Cungunuo	China	As6	GJ-tmp	temp
B224	YOUNIAN	Younian	China	As6	XI-1A	ind1A
B225	GUANTUIBAIHE_1	Guantuibaihe_1	China	As6	GJ-tmp	temp
B226	HEIMANGDAO	Heimangdao	China	As6	GJ-tmp	temp
B227	MENJIAGAO_1	Menjiagao_1	China	As6	XI-adm	indx
B228	HAOBAYONG_1	Haobayong_1	China	As6	GJ-adm	japx
B229	MENJIADING_2	Menjiading_2	China	As6	XI-adm	indx
B230	BANJIEMANG2	Banjiemang2	China	As6	GJ-adm	japx
B231	B231	#N/A	#N/A	#N/A	XI-adm	indx
B232	XIANGAIZAO_10HAO	Xiangaizao_10hao	China	As6	XI-1B	ind1B
B233	XIANGWANXIAN_1	Xiangwanxian_1__	China	As6	XI-adm	indx
B234	AITUOGU_151	Aituogu_151	China	As6	XI-1A	ind1A
B235	ZHONGHUA_8	Zhonghua_8	China	As6	GJ-tmp	temp
B236	JINDAO_1	Jindao_1	China	As6	GJ-tmp	temp
B238	MOMI	Momi	China	As6	XI-adm	indx
B239	ZHENDAO_232	Zhendao_232	China	As6	XI-1A	ind1A
B240	ZHENGDAO_5	Zhengdao_5	China	As6	GJ-tmp	temp
B241	LAMUJIA	Lamujia	China	As6	GJ-sbtrp	subtrop
B242	GUI_630	Gui_630	China	As6	XI-adm	indx
B243	HUHUI_91269	Huhui_91269	China	As6	cA_(Aus)	aus
B244	XIANGDAO	Xiangdao_	China	As6	XI-1A	ind1A
B245	SHANJIUGU	Shanjiugu	China	As6	GJ-sbtrp	subtrop
B246	LAOZAOGU	Laozaogu	China	As6	XI-adm	indx
B247	JINNANTE_B	Jinnante_B	China	As6	XI-adm	indx
B248	ZHUZHEN_B	Zhuzhen_B	China	As6	XI-1A	ind1A
B249	CHAOYANGYIHAO_B	Chaoyangyihao_B	China	As6	XI-1A	ind1A
B250	ANNONGWANGENG_B	Annongwangeng_B	China	As6	GJ-tmp	temp
B252	XIANGAI_B	Xiangai_B	China	As6	XI-adm	indx
B253	JIANGNONGZAO_1_B	Jiangnongzao_1_B	China	As6	XI-adm	indx
B254	JINGHU3_B	Jinghu3_B	China	As6	XI-adm	indx
B255	DIANRUI_409B	Dianrui_409B	China	As6	XI-adm	indx
B258	XINGGUO	Xingguo	China	As6	GJ-tmp	temp
B259	LEIHUOZHAN	Leihuozhan_	China	As6	XI-1A	ind1A
B260	MAMAGU	Mamagu_	China	As6	XI-1A	ind1A
B261	MEIHUANUO	Meihuanuo	China	As6	XI-1A	ind1A
B263	WEIGUO	Weiguo_	China	As6	GJ-tmp	temp
B264	SANBAILI	Sanbaili	China	As6	XI-1A	ind1A
B265	WUKEZHAN	Wukezhan_	China	As6	XI-adm	indx
B266	HAOMAKE_(K)	Haomake_(K)	China	As6	GJ-sbtrp	subtrop
B267	NON_SPECIFIED	NON_SPECIFIED	China	As6	XI-adm	indx
B268	NANGAOGU	Nangaogu	China	As6	XI-adm	indx
B269	YUEFU	Yuefu	China	As6	GJ-tmp	temp
