CHR	start	end	id	AMOVA	n_clusters
1	26191362	26193385	osa-miR1862a	0.2519058268711087	3
1	4765355	4767375	osa-miR1431	0.5053227859933568	3
1	5989125	5991276	osa-MIR5817	0.28701078058867563	3
1	11893404	11895424	osa-miR2924	0.2942449662700354	3
1	22523147	22525246	osa-MIR156a	0.1554652781516556	3
1	32685068	32687227	osa-MIR167j	0.5345806249378086	3
1	12300813	12302833	osa-miR408-3p	0.4142087963292443	3
1	35551728	35554070	osa-MIR5540	0.7950165765704128	3
1	5989135	5991158	osa-miR5817	0.2859643441585974	3
1	6692112	6694299	osa-MIR159f	0.18415115266743026	3
1	29288280	29290462	osa-MIR1435	0.6090464668524532	3
1	1760530	1762730	osa-MIR5824	0.33157058436010417	3
1	11845139	11847200	osa-MIR5812	0.7126015966760125	3
1	672278	674374	osa-MIR1859	0.3225211955403583	3
1	38763289	38765391	osa-MIR2090	0.5875852985404134	3
1	17680923	17683194	osa-MIR159a	0.7551410455870711	3
1	1760540	1762563	osa-miR5824	0.33749341432952507	3
1	6676570	6678766	osa-MIR319b	0.4032800828952818	3
1	672288	674309	osa-miR1859	0.3225211955405599	3
1	35551738	35553758	osa-miR5540	0.8582261445802154	3
1	25389346	25391469	osa-MIR1428b	0.37759563816364655	3
1	42569862	42571883	osa-miR2099-5p	0.48699753471128854	3
1	4665383	4667402	osa-miR156b-5p	0.6072403631432283	3
1	19879208	19881228	osa-miR439a	0.001132206658614403	3
1	16372523	16374546	osa-miR2121a	0.2609242142460663	3
1	933420	935567	osa-MIR1860	0.20237635661999276	3
1	29694842	29696904	osa-MIR5819	0	0
1	2333230	2335250	osa-miR5521	0.0687404571974648	3
1	11665716	11668202	osa-MIR7695	0.26255651382827694	3
1	2308149	2310263	osa-MIR393a	0.1978294776410831	3
1	11845176	11847199	osa-miR5812	0.7320436361591323	3
1	26191308	26193395	osa-MIR1862a	0.24641207303080295	3
1	26822282	26824472	osa-MIR319a	0.7264064434517483	3
1	25016383	25018406	osa-miR5815	0.6702231517208648	3
1	30476612	30478729	osa-MIR399e	0.6766841177890696	3
1	40621637	40623718	osa-MIR5145	0.42971081827116697	3
1	14129479	14131669	osa-MIR820a	0	0
1	27180872	27183032	osa-MIR2870	0.43126326241233476	3
1	11893321	11895440	osa-MIR2924	0.29424508744405853	3
1	40414538	40416559	osa-miR818a	0	0
1	14129483	14131503	osa-miR820a	0	0
1	25325388	25327810	osa-MIR5144	0.4199721752503669	3
1	2316365	2318385	osa-miR5494	0.2492663459130006	3
1	1214030	1216217	osa-MIR159b	0.6498080365518397	3
1	933456	935477	osa-miR1860-3p	0.10973438612903903	3
1	27180881	27182901	osa-miR2870	0.43138822440324914	3
1	22417294	22419377	osa-MIR5146	0.05016669850101483	3
1	42569854	42571913	osa-MIR2099	0.4856743104118412	3
1	25325399	25327419	osa-miR5144-3p	0.4817857065468132	3
1	8414808	8416998	osa-MIR5143b	0.8672212063061256	3
1	6676580	6678599	osa-miR319b	0.40328008042998026	3
1	15048794	15050815	osa-miR1861a	0	0
1	13159777	13161896	osa-MIR1428a	0	0
1	8414818	8416841	osa-miR5143b	0.868867653393922	3
1	7188323	7190343	osa-miR1426	0.5598376487451929	3
1	6442596	6444616	osa-miR2096-3p	0.6588836522475772	3
1	20331878	20333987	osa-MIR1847	0.23158822962643533	3
1	30477636	30479784	osa-MIR399a	0.7319033678564493	3
1	13159785	13161805	osa-miR1428a-5p	0	0
1	4665450	4667470	osa-miR156b-3p	0.6091898968175375	3
1	8416107	8418315	osa-MIR5143a	0.8610516247783693	3
1	4351598	4353621	osa-miR5830	0.06963301382817852	3
1	30476622	30478642	osa-miR399e	0.6768992280993062	3
1	12300661	12302873	osa-MIR408	0.3487881328958547	3
1	20331894	20333914	osa-miR1847.1	0.2302147435018279	3
1	8416119	8418142	osa-miR5143a	0.8619179400239719	3
1	26822292	26824311	osa-miR319a-3p.2-3p	0.7246941968195295	3
1	25800058	25802177	osa-MIR2925	0.04874462370240192	3
1	11666043	11668066	osa-miR7695-5p	0.04563765797996074	3
1	40621693	40623716	osa-miR5145	0.42969214373702236	3
1	32685182	32687202	osa-miR167j	0.5345806242824472	3
1	40414422	40416565	osa-MIR818a	0	0
1	26822336	26824356	osa-miR319a-3p	0.726395303934306	3
1	39636075	39638096	osa-miR1846d-5p	0.2673307949331598	3
1	29694852	29696872	osa-miR5819	0	0
1	933510	935530	osa-miR1860-5p	0.10578995255432394	3
1	4765320	4767559	osa-MIR1431	0.49190587122551643	3
1	2308233	2310253	osa-miR393a	0.19784580274618954	3
1	25800074	25802092	osa-miR2925	0.04884285965031816	3
1	9054603	9056779	osa-MIR2097	0.6229638231667303	3
1	33946151	33948384	osa-MIR812a	0.5439865646343607	3
1	22374030	22376126	osa-MIR814a	0	0
1	4664975	4667123	osa-MIR156c	0.601779269292627	3
1	26249210	26251233	osa-miR7692-5p	0.18661229685092773	3
1	9054610	9056631	osa-miR2097-5p	0.622967455893143	3
1	12300691	12302711	osa-miR408-5p	0.4142229617692346	3
1	6442388	6444624	osa-MIR2096	0.6304158916682177	3
1	2333077	2335260	osa-MIR5521	0.06874045704375509	3
1	15048772	15050900	osa-MIR1861a	0	0
1	42569884	42571903	osa-miR2099-3p	0.4637845473290874	3
1	6442398	6444418	osa-miR2096-5p	0.5683518300668804	3
1	22374048	22376069	osa-miR814a	0	0
1	20331937	20333960	osa-miR1847.2	0.2309850124124254	3
1	832931	834999	osa-MIR531b	0	0
1	41009573	41011952	osa-MIR5083	0.6476800405728368	3
1	6555048	6557244	osa-MIR159c	0.6556555764780678	3
1	9054748	9056769	osa-miR2097-3p	0.02812163479529072	3
1	4665003	4667022	osa-miR156c-5p	0.6046472412504933	3
1	6692269	6694289	osa-miR159f	0.18506169544782444	3
1	38763364	38765385	osa-miR2090	0.5924520235548351	3
1	41009583	41011602	osa-miR5083	0.6478639923388119	3
1	17681164	17683184	osa-miR159a.1	0.7520821227053244	3
