CHR	start	end	id	AMOVA	n_clusters
1	31266817.0	31271143.0	rand	0.7214686932906826	3
1	5253617.0	5257844.0	rand	0.6753678414539148	3
1	2953605.0	2955456.0	rand	0.44587662276255846	3
1	18845063.0	18846522.0	rand	0.479533067228222	3
1	13541257.0	13562567.0	rand	0.32728983293896735	3
1	9367818.0	9368943.0	rand	0.7755413275060354	3
1	33955339.0	33959614.0	rand	0.5862147104446465	3
1	12942092.0	12943548.0	rand	0.4807768598614535	3
1	22896781.0	22900071.0	rand	0.39240428930662424	3
1	16865550.0	16911459.0	rand	0.11894445178889035	3
1	441609.0	443784.0	rand	0.4493278367566937	3
1	28957201.0	28958752.0	rand	0.4539334385223452	3
1	31943570.0	31949134.0	rand	0.2623196316005236	3
1	33943571.0	33945550.0	rand	0.6036389790314299	3
1	23226990.0	23231996.0	rand	0.2869685499964023	3
1	37950359.0	37957632.0	rand	0.8899085882709288	3
1	1097497.0	1103413.0	rand	0.41366788044853064	3
1	29497155.0	29499799.0	rand	0.6214763486293353	3
1	19482652.0	19506150.0	rand	0.32061830264966656	3
1	19104413.0	19106409.0	rand	0.5035937727581604	3
1	26401950.0	26404907.0	rand	0.20864615155739358	3
1	3449904.0	3453305.0	rand	0.3961399957345041	3
1	3421091.0	3423790.0	rand	0.12595486155811056	3
1	24934308.0	24937061.0	rand	0.4397811334273	3
1	5842099.0	5844105.0	rand	0.29533392971284045	3
1	28598695.0	28601508.0	rand	0.4622725384515554	3
1	33658664.0	33671331.0	rand	0.5873630456538066	3
1	15710761.0	15781152.0	rand	0.7576452115574562	3
1	17312555.0	17313980.0	rand	0.5733561489139039	3
1	37791533.0	37794174.0	rand	0.6490608378428374	3
1	7891632.0	7897672.0	rand	0.7428337543687442	3
1	11716787.0	11718778.0	rand	0.7354259656193409	3
1	18072117.0	18076927.0	rand	0.5127651938186656	3
1	40022710.0	40025042.0	rand	0.7102696300295487	3
1	1735305.0	1739237.0	rand	0.34374095647909253	3
1	7544249.0	7548691.0	rand	0.8314500471434448	3
1	6980540.0	6983878.0	rand	0.719495418957149	3
1	24530749.0	24535694.0	rand	0.5870556579253129	3
1	15921214.0	15936050.0	rand	0.6258982520784637	3
1	33317570.0	33323520.0	rand	0.5524436686971724	3
1	10516803.0	10518413.0	rand	0.8450785902422374	3
1	29145590.0	29150136.0	rand	0.6344011784572644	3
1	35313607.0	35320205.0	rand	0.7779292509570203	3
1	24055372.0	24064438.0	rand	0.3893439746494307	3
1	17512010.0	17515488.0	rand	0.7189869458548334	3
1	24212428.0	24214361.0	rand	0.710761109403271	3
1	11081806.0	11087125.0	rand	0.5375336893739957	3
1	3328978.0	3331510.0	rand	0.45446233970482297	3
1	24856227.0	24858683.0	rand	0.6243886810748672	3
1	10196437.0	10202017.0	rand	0.8098135945825135	3
1	549590.0	552877.0	rand	0.4215867796580741	3
1	31423193.0	31426397.0	rand	0.6070410944880641	3
1	7572876.0	7574944.0	rand	0.8361546575349577	3
1	41046492.0	41050653.0	rand	0.6429178700817989	3
1	43108317.0	43112405.0	rand	0.45818709705916294	3
1	17585247.0	17589986.0	rand	0.6167801921817555	3
1	24077153.0	24078668.0	rand	0.4286749128497465	3
1	30648674.0	30652336.0	rand	0.5789048043208893	3
1	40682724.0	40688498.0	rand	0.5676978813534617	3
1	40074329.0	40079884.0	rand	0.6365065663805187	3
1	36185444.0	36191895.0	rand	0.7546166048922056	3
1	25517546.0	25523523.0	rand	0.5216750766527303	3
1	20540397.0	20544417.0	rand	0.23138597272508038	3
1	33595374.0	33601602.0	rand	0.8226311118739495	3
1	20309103.0	20313363.0	rand	0.21070405336007159	3
1	652784.0	657633.0	rand	0.18732249373964682	3
1	31605864.0	31611650.0	rand	0.6189122337434538	3
1	11196018.0	11198690.0	rand	0.5259307416016762	3
1	22212341.0	22275394.0	rand	0.22525675041964355	3
1	26031990.0	26035220.0	rand	0.26663740939524827	3
1	447353.0	450626.0	rand	0.4507252790118643	3
1	18692986.0	18701008.0	rand	0.09948584887643959	3
1	31491327.0	31499921.0	rand	0.4945997977491671	3
1	37234140.0	37236474.0	rand	0.7477786735562644	3
1	15810685.0	15814182.0	rand	0.5073717431467345	3
1	13317759.0	13320285.0	rand	0.5721121460011043	3
2	12513088.0	12518746.0	rand	0.7333274064244717	3
2	31213035.0	31215518.0	rand	0.8853288472256315	3
2	10700415.0	10705503.0	rand	0.3309447241106362	3
2	10735238.0	10738916.0	rand	0.35028811444799796	3
2	16456328.0	16459464.0	rand	0.47223252693616796	3
2	8414730.0	8425157.0	rand	0.3413427228345728	3
2	31402251.0	31406789.0	rand	0.8561593309371681	3
2	31549196.0	31565281.0	rand	0.8826162103371347	3
2	34837645.0	34841152.0	rand	0.6281165577465626	3
2	35307534.0	35309953.0	rand	0.48949263822865724	3
2	17606765.0	17609464.0	rand	0.5361524802183115	3
2	24095248.0	24096790.0	rand	0.33802959755341866	3
2	11087890.0	11089992.0	rand	0.24849968079882184	3
2	15313940.0	15317802.0	rand	0.8754453743954104	3
2	14501230.0	14506736.0	rand	0.8372982696383782	3
2	9447830.0	9451786.0	rand	0.6794879647392701	3
2	35120791.0	35123435.0	rand	0.3603930846571714	3
2	9777255.0	9780848.0	rand	0.37540722936295845	3
2	21099293.0	21104962.0	rand	0.7929429590038648	3
2	24824097.0	24827445.0	rand	0.2822466359194241	3
2	35725986.0	35727691.0	rand	0.9234900939208721	3
2	29618852.0	29621299.0	rand	0.6535511617243001	3
2	837742.0	840106.0	rand	0.5053802944357444	3
2	8362534.0	8377186.0	rand	0.3613613748715083	3
2	15352872.0	15356238.0	rand	0.8939174649465734	3
2	15068714.0	15070547.0	rand	0.8709900431205073	3
2	4202540.0	4208874.0	rand	0.4522385592286471	3
2	344365.0	346417.0	rand	0.5229754583148447	3
2	7374600.0	7377617.0	rand	0.5941189693507856	3
2	14652980.0	14654595.0	rand	0.8219917043269954	3
2	8315445.0	8318346.0	rand	0.5453429172461954	3
2	17280054.0	17282573.0	rand	0.556465056705802	3
2	18324790.0	18333493.0	rand	0.33025635031589684	3
2	3169460.0	3174256.0	rand	0.35821560440650263	3
2	15932745.0	15935335.0	rand	0.8288614486123518	3
2	8502720.0	8507261.0	rand	0.5179467484064267	3
2	26109889.0	26114252.0	rand	0.5714435327856712	3
2	26142475.0	26146210.0	rand	0.5939591557532973	3
2	27956677.0	27959434.0	rand	0.707877562268583	3
2	19835425.0	19838003.0	rand	0.46882312350099825	3
2	32447817.0	32451479.0	rand	0.902879850150525	3
2	13845578.0	13850468.0	rand	0.7815930010334226	3
2	34976631.0	34979535.0	rand	0.45081458639852395	3
2	33580748.0	33586267.0	rand	0.8119385171196206	3
2	505570.0	509437.0	rand	0.4158927129018144	3
2	33606734.0	33611694.0	rand	0.7583743581754253	3
2	29855569.0	29858967.0	rand	0.7953690870763557	3
2	161748.0	165013.0	rand	0.5333240265591906	3
2	7104313.0	7110344.0	rand	0.4179250427265613	3
2	80216.0	82454.0	rand	0.5144444468655963	3
2	18866009.0	18868634.0	rand	0.42395820554051544	3
2	28892556.0	28895113.0	rand	0.17941203643563103	3
2	6403164.0	6404665.0	rand	0.6496781327081385	3
2	74717.0	76314.0	rand	0.4470069058392065	3
2	9073886.0	9082496.0	rand	0.44076018964677105	3
2	5853151.0	5860146.0	rand	0.8528447290067833	3
2	22153057.0	22157218.0	rand	0.5509368450690337	3
2	19106274.0	19110876.0	rand	0.5524404941259904	3
2	1995528.0	1998534.0	rand	0.034337734510786415	3
2	19151974.0	19153748.0	rand	0.40249397773724355	3
2	31413094.0	31420621.0	rand	0.8916191141861504	3
2	28470887.0	28475678.0	rand	0.6467578931587551	3
2	11282536.0	11284868.0	rand	0.6705023681025671	3
